Category,Seed,Payment (qty),Payment (type),Patch Location,Growth Time (hrs),Pet Rate (99)
Trees,Yew,15,Cactus Spine,Lumbridge,6.66,8767
Trees,Yew,15,Cactus Spine,Varrock,6.66,8767
Trees,Yew,15,Cactus Spine,Taverly,6.66,8767
Trees,Yew,15,Cactus Spine,Falador Park,6.66,8767
Trees,Yew,15,Cactus Spine,Tree Gnome Stronghold,6.66,8767
Trees,Yew,15,Cactus Spine,Farming Guild,6.66,8767
Trees,Yew,15,Cactus Spine,Nemus Retreat,6.66,8767
Fruit Tree,Pineapple,10,Watermelon,Brimhaven,16,6525
Fruit Tree,Pineapple,10,Watermelon,Catherby,16,6525
Fruit Tree,Pineapple,10,Watermelon,Tree Gnome Stronghold,16,6525
Fruit Tree,Pineapple,10,Watermelon,Tree Gnome Village,16,6525
Fruit Tree,Pineapple,10,Watermelon,Kastori,16,6525
Fruit Tree,Pineapple,10,Watermelon,Lletya,16,6525
Fruit Tree,Pineapple,10,Watermelon,Farming Guild,16,6525
Redwood Tree,Redwood,6,Dragonfruits,Farming Guild,106.66,2525
Celastrus Tree,Celastrus,8,Potato Cacti,Farming Guild,13.33,6525
Crystal Tree,Crystal,0,None,Priffddinas,8,6525
Calquat Tree,Calquat,8,Poison Ivy Berries,Tai Bwo Wannai,21.33,3525
Calquat Tree,Calquat,8,Poison Ivy Berries,Kastori,21.33,3525
Hardwood,Teak,15,Limpwurt Roots,Fossil Island,74.66,2525
Hardwood,Teak,15,Limpwurt Roots,Fossil Island,74.66,2525
Hardwood,Teak,15,Limpwurt Roots,Fossil Island,74.66,2525
Hardwood,Teak,15,Limpwurt Roots,Avium Savannah,74.66,2525
Seaweed Patch,Seaweed Spore,200,Numilite,Underwater,0.66,5025
Seaweed Patch,Seaweed Spore,200,Numilite,Underwater,0.66,5025
Bush,Poison Ivy,0,None,Ardougne Monastery,2.66,25629
Bush,Poison Ivy,0,None,Rimmington,2.66,25629
Bush,Poison Ivy,0,None,Champions' Guild ,2.66,25629
Bush,Poison Ivy,0,None,Etceteria,2.66,25629
Bush,Poison Ivy,0,None,Farming Guild,2.66,25629
Cactus Patch,Cactus,6,Cadava Berries,Farming Guild,9,4525
Cactus Patch,Cactus,6,Cadava Berries,Al Kharid,9,4525
Mushroom Patch,Mushroom spore,0,None,Canifis,4,5025
Belladonna Patch,Belladonna,0,None,Draynor Manor,5.33,5525
Belladonna Patch,Belladonna,0,None,Auburnvale,5.33,5525
